"row.list"	"DSC.list"	"responses"
"337"	"80"	"DSC_4004"	"1"
"338"	"80"	"DSC_3988"	"1"
"339"	"80"	"DSC_4003"	"1"
"340"	"80"	"DSC_4007"	"1"
"341"	"80"	"DSC_4019"	"1"
"342"	"80"	"DSC_4013"	"1"
"343"	"80"	"DSC_4009"	"1"
"344"	"80"	"DSC_4008"	"1"
"345"	"80"	"DSC_3991"	"1"
"346"	"80"	"DSC_3994"	"1"
"347"	"80"	"DSC_3997"	"1"
"348"	"80"	"DSC_3987"	"1"
"349"	"80"	"DSC_3984"	"1"
"350"	"80"	"DSC_4021"	"1"
"351"	"80"	"DSC_3985"	"1"
"352"	"80"	"DSC_3982"	"1"
"353"	"80"	"DSC_4000"	"1"
"354"	"80"	"DSC_4020"	"1"
"355"	"80"	"DSC_3993"	"1"
"356"	"80"	"DSC_4015"	"1"
"357"	"80"	"DSC_3983"	"1"
"358"	"80"	"DSC_4010"	"1"
"359"	"80"	"DSC_3981"	"1"
"360"	"80"	"DSC_3998"	"1"
"361"	"80"	"DSC_4001"	"1"
"362"	"80"	"DSC_3996"	"1"
"363"	"80"	"DSC_4006"	"1"
"364"	"80"	"DSC_4014"	"1"
"365"	"80"	"DSC_4012"	"1"
"366"	"80"	"DSC_4011"	"1"
"367"	"80"	"DSC_4018"	"1"
